Id,Invoice No.,Stock code,Description,Quantity,Invoice date,Unit price,Customer ID
54,2738,0DAD8DAD8,Class send front sound war address morning explain light alone.,2,18-01-2015,984.07,9FCB1FCB2
55,6165,9FDF2FDF7,Anything event yet effect quite reflect upon yet seven several might history.,5,12-03-2020,431.95,9BCA3BCA6
56,3985,4DED2DED3,Trouble tonight former section across staff north weight.,5,06-03-2012,445.76,6CFF7CFF5
57,9620,5EAE4EAE0,Notice kind game act return travel professional.,5,11-04-2017,493.18,3CED8CED9
58,6428,4BDA5BDA3,As police often walk place myself his itself.,2,19-04-2011,406.44,0CAA9CAA6
59,8885,6DEA7DEA6,Couple site social suddenly seek choice produce type none guess.,1,26-02-2022,86.93,9FAC1FAC1
60,582,5BAC7BAC0,Piece physical market room eat through ever war.,6,06-10-2021,619.73,1BBF6BBF5
61,7813,8FDA0FDA6,Key assume interview house even join serious green.,1,30-07-2011,140.7,0DAD5DAD2
62,4366,2CEA6CEA1,Simple personal home they although let stop camera report foreign agency.,4,22-01-2014,820.19,2BFD2BFD3
63,5501,4AFE6AFE2,Response provide likely fire subject west agent hotel.,5,18-02-2008,462.92,0EDD7EDD8
64,6480,2DBF3DBF2,By care lose politics shake another statement analysis.,4,11-06-2015,625.91,1AAD6AAD1
65,1824,6AEA4AEA8,Son foreign remember site military lead travel series.,5,20-08-2013,820.92,8DEA5DEA3
66,8051,5DAF7DAF7,Possible lead draw learn city four pretty live.,4,17-06-2015,81.85,3AED0AED0
67,116,0BCF3BCF3,Good later street mention would technology budget first age safe affect though cover.,1,15-01-2013,46.09,4FEA8FEA7
68,2516,5EBE1EBE7,Key page per eight finally support.,5,19-09-2013,620.74,3BAA0BAA1
69,3615,5FBB9FBB7,But go computer pattern president add lead.,2,05-06-2015,771.08,0CAA4CAA2
70,6408,4DCA1DCA9,Student bag grow better why child might.,5,10-09-2019,400.65,2ECF5ECF1
71,2822,7FAD7FAD8,Single city quite wall various foreign agency when.,4,24-08-2016,603.34,5ABA7ABA7
72,5235,4FEE1FEE3,Clear inside guy north hit side class on.,1,08-09-2017,622.0,4ABA8ABA0
73,5800,7BFB5BFB7,Since born particularly sing purpose here.,2,14-06-2006,669.53,4CDD1CDD2
74,2583,2EEE9EEE5,Hundred candidate not go benefit time early high trouble drive loss turn.,3,05-03-2007,448.58,4BBD5BBD1
75,997,1ECE0ECE0,Everybody particularly test hospital personal move system certain hotel.,4,23-01-2019,666.17,3FAD5FAD9
76,9722,5BED0BED1,Listen city truth ten seven both happy central group line.,3,29-10-2014,34.29,2ACB0ACB5
77,5460,4EEA5EEA5,Necessary alone improve heart decade care book ground all.,4,24-10-2015,671.16,9CCE2CCE5
78,8822,5EBA6EBA9,Debate direction moment standard ground think save.,4,10-03-2018,516.42,9BAB3BAB0
79,5858,1DBF4DBF5,Treatment worker season figure they yeah get.,6,21-02-2022,784.66,1FDB7FDB0
80,1220,7BBF9BBF6,Other relate very military recent positive daughter popular word book read pass heart.,1,01-07-2019,1.57,8CAD1CAD3
81,5175,6EBA4EBA6,Recent project speech director city necessary thus sister meet though ago poor coach.,2,19-10-2014,693.76,2BDC2BDC0
82,4092,9CCC7CCC4,Commercial kid approach heart sort popular if do them although.,6,19-07-2016,148.78,0FDF1FDF3
83,6742,8DEE9DEE4,Must city system story century attention attention hotel.,5,19-03-2022,681.47,2EEE2EEE2
84,3142,5FBD9FBD6,Speech catch ten statement carry next according television next sense.,5,05-05-2014,178.55,9DFA7DFA4
85,1033,7FAD2FAD3,Stuff find different many water meeting future back off difficult happen high.,1,25-11-2018,234.37,0BFF2BFF6
86,5469,0FBE7FBE2,Story budget great than director remember place.,5,08-02-2012,645.64,8EFA3EFA5
87,1741,8ABF2ABF9,Child usually sea upon full director race wish let left very.,6,18-08-2015,936.84,9BBE3BBE9
88,7358,7AAB3AAB0,Begin first through dinner whose worker.,6,16-10-2015,61.43,4EBA2EBA5
89,5212,5DFB1DFB3,Agreement well account movement can start paper tree bank letter.,3,03-06-2020,89.61,9ABC2ABC0
90,8233,1BFE3BFE5,High southern job high she past especially old region still quality.,1,25-11-2016,298.14,3FEE4FEE0
91,1140,4BCA4BCA3,Per probably her of process cut meet.,6,18-01-2008,817.18,5AFE3AFE6
92,7727,0FAC8FAC4,Fund indicate help north friend state do eat lose various agency rich accept.,2,20-11-2012,736.34,8ECA9ECA5
93,7723,3DCC7DCC4,Exist president outside upon why mission because feel military pull watch.,6,21-08-2008,505.92,7CBA5CBA7
94,7636,9EDD5EDD6,Court hospital skin soon which thought radio minute rich consumer type Republican.,3,12-02-2016,962.97,6FBE9FBE9
95,9397,8EFC7EFC0,Drug toward such new cultural analysis.,6,13-04-2008,379.31,7CEB6CEB8
96,8645,4FBC8FBC7,Rate clear newspaper ground just keep production suffer life chair senior seem.,2,24-03-2022,678.35,3EFC8EFC0
97,63,8BBF1BBF4,Take one them in decision above you.,6,27-04-2008,874.68,9FED6FED1
98,8119,0AAA0AAA0,Sell daughter pay growth base age speak pass tend onto when happen.,4,04-12-2013,419.74,0FEE6FEE5
99,3668,3CFD1CFD8,Direction opportunity very analysis firm once machine western month itself.,2,23-07-2012,16.92,5ACA2ACA3
100,2016,7DDF9DDF4,All evening his gas health sort couple station my.,5,06-10-2011,880.27,6CBC6CBC5
